Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C14, C2, C21, C22, C3, C4, C6, C7, C8",1206,12,47uF @16VDC,
"C11, C12, C33, C37, C38, C40, C41, C49, C50, C51, C52, C53, C54, C56, C58",0805,15,1uF @50V,
"C15, C16, C17, C18, C19, C20, C43, C44, C45, C5, C57, C9",1210,12,10uF @50V,
"C23, C24",0402,2,20p,
"C25, C26, C27, C28, C29, C30, C31, C34, C35, C36, C39, C42, C46, C47, C48, C55",0402,16,100nF @50V,
"D1, D2, D5, D6",PESD5V0S1BL315,4,PTVS3V3D1BALYL,
"D3, D4",0603,2,LED,
D7,SOT65P210X110-3N,1,PESD2CANFD24V-UX,
"F1, F2",0154005DR,2,0154005.DR,
FB1,BLM18SP221SN1B,1,BLM18AG601SN1D,
FB2,BEADC2012X105N,1,BLM21PG221SN1D,
"IC1, IC2",LTC4451AVTRMPBF,2,LTC4451AV#TRMPBF,
IC3,SOT65P280X110-8N,1,INA232AIDDFR,
IC4,SOIC127P600X175-8N,1,SN65HVD233QDRQ1,
"IC5, IC6, IC7, IC8",TPS22997RYZR,4,TPS22997RYZR,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"J10, J12, J13, J14, J15",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5,Conn_01x02,
J11,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J18,BM12BGHSTBTLFSN,1,BM12B-GHS-TBT_LF__SN_,
J2,PinHeader_2x05_P1.27mm_Horizontal,1,Conn_ARM_JTAG_SWD_10,
"J3, J5, J6, J7",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,4,Conn_01x02,
"J8, J9",SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm,2,Conn_01x02,
"L1, L2",INDPM6868X420N,2,SRR6838A-1R0Y,
PS1,SOT95P280X145-5N,1,TLV75733PDBVR,
"R1, R10, R12, R2, R20, R21, R22, R23, R3, R4, R9",0402,11,10k,
R11,0603,1,1M,
"R13, R14, R15, R16",0603,4,2.4k,
R17,RESC2013X58N,1,WSLP08059L000FEA18,
"R18, R19",0603,2,60,
"R5, R6",0603,2,20K,
"R7, R8",0603,2,100K,
S1,OS102011MA1QN1,1,OS102011MA1QN1,
"TP1, TP12, TP2, TP7, TP8",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,5,TestPoint_Alt,
"TP10, TP11, TP14, TP15, TP16, TP17, TP9",S276146R,7,S2761-46R,
"U1, U2",QFN-26_MP2731,2,MP2731GQC-0000-P,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F103RGTx,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,Crystal,
